Standard Cell,Instance Name,Parent Module
sky130_fd_sc_hd__xnor2_2,_41546_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41547_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41548_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41549_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41550_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41551_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41552_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41553_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41554_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41555_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41556_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41557_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41558_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41559_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41560_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41561_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41562_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41563_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41564_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41565_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41566_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41567_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41568_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41569_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41570_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41571_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41572_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41573_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41574_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41575_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41576_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41577_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41578_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41579_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41580_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41581_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41582_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41583_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41584_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41585_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41586_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41587_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41588_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41589_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41590_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41591_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41592_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41593_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41594_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41595_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41596_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41597_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41598_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41599_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41600_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41601_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41602_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41603_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41604_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41605_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41606_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41607_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41608_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41609_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41610_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41611_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41612_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41613_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41614_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41615_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41616_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41617_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41618_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41619_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41620_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41621_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41622_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41623_,ldpc_decoder_802_3an
sky130_fd_sc_hd__or2_2,_41624_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41625_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41626_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41627_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41628_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41629_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41630_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41631_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41632_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41633_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41634_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41635_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41636_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41637_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41638_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41639_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41640_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41641_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41642_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41643_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41644_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41645_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41646_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41647_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41648_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41649_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41650_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41651_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41652_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41653_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41654_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41655_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41656_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41657_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41658_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41659_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41660_,ldpc_decoder_802_3an
