Standard Cell,Instance Name,Parent Module
sky130_fd_sc_hd__nand2_2,_06322_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__or2_2,_06323_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nand2_2,_06324_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nand2_2,_06325_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__a21o_2,_06326_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__xnor2_2,_06327_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nand2_2,_06328_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__or2_2,_06329_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__and2_2,_06330_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__and4_2,_06331_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__a22oi_2,_06332_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nand2_2,_06333_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__or3_2,_06334_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__o21ai_2,_06335_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__o21bai_2,_06336_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__and3_2,_06337_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__a21o_2,_06338_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__and2b_2,_06339_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__a22oi_2,_06340_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__and4_2,_06341_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nor2_2,_06342_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nand2_2,_06343_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__and3_2,_06344_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__xnor2_2,_06345_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__xnor2_2,_06346_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__a21oi_2,_06347_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nand3_2,_06348_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__and2b_2,_06349_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__xnor2_2,_06350_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__or2_2,_06351_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nand2_2,_06352_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nand2_2,_06353_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__or2_2,_06354_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nand2_2,_06355_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__and2_2,_06356_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__and4_2,_06357_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__a22oi_2,_06358_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nand2_2,_06359_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__or3_2,_06360_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__o21ai_2,_06361_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__o21bai_2,_06362_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nand3_2,_06363_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__a21o_2,_06364_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__a22oi_2,_06365_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__and4_2,_06366_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nor2_2,_06367_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nand2_2,_06368_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__xnor2_2,_06369_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nand3_2,_06370_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__a21o_2,_06371_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__a21o_2,_06372_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nand3_2,_06373_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__inv_2,_06374_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__a21o_2,_06375_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__o211a_2,_06376_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__a211oi_2,_06377_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nor2_2,_06378_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__and3_2,_06379_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__a21oi_2,_06380_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nor2_2,_06381_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__a21o_2,_06382_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nand2_2,_06383_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__xnor2_2,_06384_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__and3_2,_06385_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__a21oi_2,_06386_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nor2_2,_06387_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__and4_2,_06388_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__a22oi_2,_06389_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nand2_2,_06390_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__or3_2,_06391_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__o21ai_2,_06392_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__o21bai_2,_06393_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nand3_2,_06394_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__a21o_2,_06395_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__a22oi_2,_06396_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__and4_2,_06397_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nor2_2,_06398_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nand2_2,_06399_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__xnor2_2,_06400_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nand3_2,_06401_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__a21o_2,_06402_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__a21bo_2,_06403_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nand3_2,_06404_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__a21o_2,_06405_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__a31o_2,_06406_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__and4_2,_06407_,picorv32_pcpi_fast_mul
