Standard Cell,Instance Name,Parent Module
sky130_fd_sc_hd__o2bb2a_2,_1974_,RGB2YCBCR
sky130_fd_sc_hd__o21a_2,_1975_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_1976_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_1977_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_1978_,RGB2YCBCR
sky130_fd_sc_hd__xor2_2,_1979_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_1980_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_1981_,RGB2YCBCR
sky130_fd_sc_hd__a21oi_2,_1982_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_1983_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_1984_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_1985_,RGB2YCBCR
sky130_fd_sc_hd__xor2_2,_1986_,RGB2YCBCR
sky130_fd_sc_hd__a21o_2,_1987_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_1988_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_1989_,RGB2YCBCR
sky130_fd_sc_hd__a21o_2,_1990_,RGB2YCBCR
sky130_fd_sc_hd__and3_2,_1991_,RGB2YCBCR
sky130_fd_sc_hd__a21oi_2,_1992_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_1993_,RGB2YCBCR
sky130_fd_sc_hd__xor2_2,_1994_,RGB2YCBCR
sky130_fd_sc_hd__xor2_2,_1995_,RGB2YCBCR
sky130_fd_sc_hd__o21a_2,_1996_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_1997_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_1998_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_1999_,RGB2YCBCR
sky130_fd_sc_hd__and3_2,_2000_,RGB2YCBCR
sky130_fd_sc_hd__inv_2,_2001_,RGB2YCBCR
sky130_fd_sc_hd__a21oi_2,_2002_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_2003_,RGB2YCBCR
sky130_fd_sc_hd__o21a_2,_2004_,RGB2YCBCR
sky130_fd_sc_hd__nand2b_2,_2005_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_2006_,RGB2YCBCR
sky130_fd_sc_hd__nand4_2,_2007_,RGB2YCBCR
sky130_fd_sc_hd__a31o_2,_2008_,RGB2YCBCR
sky130_fd_sc_hd__a32o_2,_2009_,RGB2YCBCR
sky130_fd_sc_hd__and3_2,_2010_,RGB2YCBCR
sky130_fd_sc_hd__a21o_2,_2011_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_2012_,RGB2YCBCR
sky130_fd_sc_hd__o21a_2,_2013_,RGB2YCBCR
sky130_fd_sc_hd__nor3_2,_2014_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_2015_,RGB2YCBCR
sky130_fd_sc_hd__o21ai_2,_2016_,RGB2YCBCR
sky130_fd_sc_hd__or3_2,_2017_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_2018_,RGB2YCBCR
sky130_fd_sc_hd__or3_2,_2019_,RGB2YCBCR
sky130_fd_sc_hd__inv_2,_2020_,RGB2YCBCR
sky130_fd_sc_hd__o21ai_2,_2021_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_2022_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2023_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_2024_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2025_,RGB2YCBCR
sky130_fd_sc_hd__a32o_2,_2026_,RGB2YCBCR
sky130_fd_sc_hd__xor2_2,_2027_,RGB2YCBCR
sky130_fd_sc_hd__a21oi_2,_2028_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_2029_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_2030_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_2031_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_2032_,RGB2YCBCR
sky130_fd_sc_hd__xor2_2,_2033_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2034_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_2035_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_2036_,RGB2YCBCR
sky130_fd_sc_hd__inv_2,_2037_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2038_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2039_,RGB2YCBCR
sky130_fd_sc_hd__nand3_2,_2040_,RGB2YCBCR
sky130_fd_sc_hd__a311o_2,_2041_,RGB2YCBCR
sky130_fd_sc_hd__a32o_2,_2042_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_2043_,RGB2YCBCR
sky130_fd_sc_hd__o21ai_2,_2044_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_2045_,RGB2YCBCR
sky130_fd_sc_hd__xor2_2,_2046_,RGB2YCBCR
sky130_fd_sc_hd__o21ai_2,_2047_,RGB2YCBCR
sky130_fd_sc_hd__or3_2,_2048_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_2049_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2050_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_2051_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2052_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_2053_,RGB2YCBCR
sky130_fd_sc_hd__a21oi_2,_2054_,RGB2YCBCR
sky130_fd_sc_hd__a31o_2,_2055_,RGB2YCBCR
sky130_fd_sc_hd__a2bb2o_2,_2056_,RGB2YCBCR
sky130_fd_sc_hd__a21bo_2,_2057_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2058_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_2059_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2060_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_2061_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_2062_,RGB2YCBCR
sky130_fd_sc_hd__o32a_2,_2063_,RGB2YCBCR
sky130_fd_sc_hd__and2b_2,_2064_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_2065_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_2066_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_2067_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_2068_,RGB2YCBCR
sky130_fd_sc_hd__a21oi_2,_2069_,RGB2YCBCR
sky130_fd_sc_hd__and3_2,_2070_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_2071_,RGB2YCBCR
sky130_fd_sc_hd__a31oi_2,_2072_,RGB2YCBCR
sky130_fd_sc_hd__xor2_2,_2073_,RGB2YCBCR
sky130_fd_sc_hd__a22o_2,_2074_,RGB2YCBCR
sky130_fd_sc_hd__a21oi_2,_2075_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_2076_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_2077_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_2078_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2079_,RGB2YCBCR
sky130_fd_sc_hd__o21a_2,_2080_,RGB2YCBCR
sky130_fd_sc_hd__o21a_2,_2081_,RGB2YCBCR
sky130_fd_sc_hd__inv_2,_2082_,RGB2YCBCR
sky130_fd_sc_hd__nor3_2,_2083_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_2084_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2085_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_2086_,RGB2YCBCR
sky130_fd_sc_hd__a32o_2,_2087_,RGB2YCBCR
sky130_fd_sc_hd__a21o_2,_2088_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_2089_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2090_,RGB2YCBCR
sky130_fd_sc_hd__a21oi_2,_2091_,RGB2YCBCR
sky130_fd_sc_hd__o22a_2,_2092_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_2093_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2094_,RGB2YCBCR
sky130_fd_sc_hd__a21oi_2,_2095_,RGB2YCBCR
sky130_fd_sc_hd__a21o_2,_2096_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2097_,RGB2YCBCR
sky130_fd_sc_hd__a32o_2,_2098_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_2099_,RGB2YCBCR
sky130_fd_sc_hd__a22o_2,_2100_,RGB2YCBCR
sky130_fd_sc_hd__a21bo_2,_2101_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2102_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_2103_,RGB2YCBCR
sky130_fd_sc_hd__a32o_2,_2104_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2105_,RGB2YCBCR
sky130_fd_sc_hd__a31o_2,_2106_,RGB2YCBCR
sky130_fd_sc_hd__a21bo_2,_2107_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_2108_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_2109_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_2110_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_2111_,RGB2YCBCR
sky130_fd_sc_hd__a22o_2,_2112_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_2113_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2114_,RGB2YCBCR
sky130_fd_sc_hd__a32o_2,_2115_,RGB2YCBCR
sky130_fd_sc_hd__a31o_2,_2116_,RGB2YCBCR
sky130_fd_sc_hd__and3_2,_2117_,RGB2YCBCR
sky130_fd_sc_hd__inv_2,_2118_,RGB2YCBCR
sky130_fd_sc_hd__a32o_2,_2119_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_2120_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2121_,RGB2YCBCR
sky130_fd_sc_hd__a32o_2,_2122_,RGB2YCBCR
sky130_fd_sc_hd__a21o_2,_2123_,RGB2YCBCR
sky130_fd_sc_hd__and3_2,_2124_,RGB2YCBCR
sky130_fd_sc_hd__inv_2,_2125_,RGB2YCBCR
sky130_fd_sc_hd__a32o_2,_2126_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_2127_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2128_,RGB2YCBCR
sky130_fd_sc_hd__a32o_2,_2129_,RGB2YCBCR
sky130_fd_sc_hd__a21o_2,_2130_,RGB2YCBCR
sky130_fd_sc_hd__and3_2,_2131_,RGB2YCBCR
sky130_fd_sc_hd__inv_2,_2132_,RGB2YCBCR
sky130_fd_sc_hd__a32o_2,_2133_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2134_,RGB2YCBCR
sky130_fd_sc_hd__o21a_2,_2135_,RGB2YCBCR
sky130_fd_sc_hd__a22o_2,_2136_,RGB2YCBCR
sky130_fd_sc_hd__and4_2,_2137_,RGB2YCBCR
sky130_fd_sc_hd__nand4_2,_2138_,RGB2YCBCR
sky130_fd_sc_hd__o211a_2,_2139_,RGB2YCBCR
sky130_fd_sc_hd__o21ai_2,_2140_,RGB2YCBCR
sky130_fd_sc_hd__a2bb2o_2,_2141_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_2142_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_2143_,RGB2YCBCR
sky130_fd_sc_hd__inv_2,_2144_,RGB2YCBCR
sky130_fd_sc_hd__a32o_2,_2145_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_2146_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2147_,RGB2YCBCR
sky130_fd_sc_hd__a32o_2,_2148_,RGB2YCBCR
sky130_fd_sc_hd__and3_2,_2149_,RGB2YCBCR
sky130_fd_sc_hd__inv_2,_2150_,RGB2YCBCR
sky130_fd_sc_hd__a31o_2,_2151_,RGB2YCBCR
sky130_fd_sc_hd__a32o_2,_2152_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_2153_,RGB2YCBCR
sky130_fd_sc_hd__o21ai_2,_2154_,RGB2YCBCR
sky130_fd_sc_hd__a2bb2o_2,_2155_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_2156_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2157_,RGB2YCBCR
sky130_fd_sc_hd__a32o_2,_2158_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_2159_,RGB2YCBCR
sky130_fd_sc_hd__o21ai_2,_2160_,RGB2YCBCR
sky130_fd_sc_hd__o221a_2,_2161_,RGB2YCBCR
sky130_fd_sc_hd__o21ai_2,_2162_,RGB2YCBCR
sky130_fd_sc_hd__a22o_2,_2163_,RGB2YCBCR
sky130_fd_sc_hd__and4_2,_2164_,RGB2YCBCR
sky130_fd_sc_hd__nand4_2,_2165_,RGB2YCBCR
sky130_fd_sc_hd__o211a_2,_2166_,RGB2YCBCR
sky130_fd_sc_hd__o21ai_2,_2167_,RGB2YCBCR
sky130_fd_sc_hd__a2bb2o_2,_2168_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_2169_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_2170_,RGB2YCBCR
sky130_fd_sc_hd__inv_2,_2171_,RGB2YCBCR
sky130_fd_sc_hd__a32o_2,_2172_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_2173_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2174_,RGB2YCBCR
sky130_fd_sc_hd__a32o_2,_2175_,RGB2YCBCR
sky130_fd_sc_hd__and3_2,_2176_,RGB2YCBCR
sky130_fd_sc_hd__inv_2,_2177_,RGB2YCBCR
sky130_fd_sc_hd__a31o_2,_2178_,RGB2YCBCR
sky130_fd_sc_hd__a32o_2,_2179_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_2180_,RGB2YCBCR
sky130_fd_sc_hd__o21ai_2,_2181_,RGB2YCBCR
sky130_fd_sc_hd__a2bb2o_2,_2182_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_2183_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2184_,RGB2YCBCR
sky130_fd_sc_hd__a32o_2,_2185_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_2186_,RGB2YCBCR
sky130_fd_sc_hd__a21o_2,_2187_,RGB2YCBCR
sky130_fd_sc_hd__o221a_2,_2188_,RGB2YCBCR
sky130_fd_sc_hd__o21ai_2,_2189_,RGB2YCBCR
sky130_fd_sc_hd__a22o_2,_2190_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2191_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_2192_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2193_,RGB2YCBCR
sky130_fd_sc_hd__xor2_2,_2194_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2195_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_2196_,RGB2YCBCR
sky130_fd_sc_hd__nand3_2,_2197_,RGB2YCBCR
sky130_fd_sc_hd__a21o_2,_2198_,RGB2YCBCR
sky130_fd_sc_hd__inv_2,_2199_,RGB2YCBCR
sky130_fd_sc_hd__and3_2,_2200_,RGB2YCBCR
sky130_fd_sc_hd__a21o_2,_2201_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2202_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_2203_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_2204_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_2205_,RGB2YCBCR
sky130_fd_sc_hd__a21oi_2,_2206_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_2207_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_2208_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_2209_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_2210_,RGB2YCBCR
sky130_fd_sc_hd__a21oi_2,_2211_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_2212_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_2213_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_2214_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_2215_,RGB2YCBCR
sky130_fd_sc_hd__a21oi_2,_2216_,RGB2YCBCR
sky130_fd_sc_hd__o22ai_2,_2217_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_2218_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_2219_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_2220_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_2221_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_2222_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_2223_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_2224_,RGB2YCBCR
sky130_fd_sc_hd__a21oi_2,_2225_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_2226_,RGB2YCBCR
sky130_fd_sc_hd__a21oi_2,_2227_,RGB2YCBCR
sky130_fd_sc_hd__o22ai_2,_2228_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_2229_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_2230_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_2231_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_2232_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_2233_,RGB2YCBCR
